h	V	C	R	G	B
10RP	1	2	44	22	32
10RP	1	4	53	15	35
10RP	1	6	60	3	37
2.5R	1	2	45	22	30
2.5R	1	4	54	14	31
2.5R	1	6	62	0	32
5R	1	2	45	22	27
5R	1	4	55	14	27
7.5R	1	2	46	22	25
7.5R	1	4	56	14	23
10R	1	2	46	22	23
10R	1	4	56	14	18
2.5YR	1	2	45	23	20
2.5YR	1	4	56	15	10
2.5YR	1	6	65	3	2
5YR	1	2	44	24	16
7.5YR	1	2	43	25	13
10YR	1	2	41	26	10
2.5Y	1	2	38	27	7
5Y	1	2	36	28	7
7.5Y	1	2	33	29	9
10Y	1	2	30	30	12
2.5GY	1	2	27	30	15
5GY	1	2	25	31	18
7.5GY	1	2	22	31	21
7.5GY	1	4	6	35	2
10GY	1	2	20	31	23
2.5G	1	2	19	32	24
5G	1	2	17	32	25
7.5G	1	2	16	32	27
10G	1	2	15	32	28
2.5BG	1	2	14	32	30
5BG	1	2	12	32	32
7.5BG	1	2	11	32	34
10BG	1	2	10	32	36
2.5B	1	2	10	32	37
5B	1	2	10	31	39
7.5B	1	2	12	31	40
10B	1	2	15	30	42
2.5PB	1	2	18	30	42
5PB	1	2	22	29	43
5PB	1	4	11	29	54
7.5PB	1	2	27	27	43
7.5PB	1	4	24	26	54
7.5PB	1	6	22	23	65
7.5PB	1	8	23	19	75
7.5PB	1	10	25	14	84
7.5PB	1	12	28	5	92
10PB	1	2	31	26	43
10PB	1	4	33	23	53
10PB	1	6	35	20	62
10PB	1	8	37	15	70
10PB	1	10	41	6	79
2.5P	1	2	34	25	42
2.5P	1	4	38	21	51
2.5P	1	6	42	17	58
2.5P	1	8	46	9	66
5P	1	2	36	24	41
5P	1	4	41	20	49
5P	1	6	46	14	56
5P	1	8	51	4	63
7.5P	1	2	38	24	40
7.5P	1	4	44	19	47
7.5P	1	6	49	12	53
10P	1	2	39	23	39
10P	1	4	46	18	45
10P	1	6	51	11	51
2.5RP	1	2	41	23	38
2.5RP	1	4	48	17	43
2.5RP	1	6	54	9	49
5RP	1	2	42	22	36
5RP	1	4	50	16	40
5RP	1	6	56	7	45
7.5RP	1	2	43	22	34
7.5RP	1	4	51	15	38
7.5RP	1	6	59	4	41
10RP	2	2	65	44	50
10RP	2	4	76	37	51
10RP	2	6	85	30	52
10RP	2	8	95	16	54
2.5R	2	2	66	44	48
2.5R	2	4	77	37	47
2.5R	2	6	87	29	46
2.5R	2	8	98	14	46
5R	2	2	66	44	46
5R	2	4	78	37	43
5R	2	6	88	29	40
5R	2	8	99	14	38
7.5R	2	2	66	44	44
7.5R	2	4	78	37	39
7.5R	2	6	88	30	34
7.5R	2	8	99	16	29
10R	2	2	66	44	42
10R	2	4	78	38	34
10R	2	6	88	31	26
10R	2	8	98	19	18
2.5YR	2	2	65	45	39
2.5YR	2	4	77	39	29
2.5YR	2	6	87	33	17
5YR	2	2	64	45	37
5YR	2	4	75	41	23
5YR	2	6	84	36	1
7.5YR	2	2	63	46	35
7.5YR	2	4	72	43	18
10YR	2	2	61	47	33
10YR	2	4	69	45	13
2.5Y	2	2	58	48	32
2.5Y	2	4	65	46	7
5Y	2	2	56	49	32
5Y	2	4	62	48	2
7.5Y	2	2	54	50	32
7.5Y	2	4	58	50	0
10Y	2	2	51	50	34
10Y	2	4	53	51	4
2.5GY	2	2	48	51	36
2.5GY	2	4	47	53	12
5GY	2	2	46	52	38
5GY	2	4	41	54	19
7.5GY	2	2	43	52	40
7.5GY	2	4	34	55	26
7.5GY	2	6	21	57	7
10GY	2	2	41	52	42
10GY	2	4	28	56	32
10GY	2	6	3	58	22
2.5G	2	2	39	53	44
2.5G	2	4	21	56	38
5G	2	2	38	53	46
5G	2	4	17	56	41
7.5G	2	2	37	53	47
7.5G	2	4	13	56	44
10G	2	2	36	53	48
10G	2	4	7	57	47
2.5BG	2	2	35	53	50
2.5BG	2	4	0	56	51
5BG	2	2	34	53	52
7.5BG	2	2	34	53	54
10BG	2	2	33	53	56
2.5B	2	2	33	52	57
5B	2	2	34	52	59
7.5B	2	2	35	52	60
7.5B	2	4	4	54	72
10B	2	2	37	51	62
10B	2	4	15	53	74
2.5PB	2	2	40	50	63
2.5PB	2	4	25	51	75
5PB	2	2	43	49	63
5PB	2	4	34	50	76
5PB	2	6	17	50	89
7.5PB	2	2	47	48	64
7.5PB	2	4	44	47	76
7.5PB	2	6	41	45	88
7.5PB	2	8	38	43	100
7.5PB	2	10	36	40	112
7.5PB	2	12	37	36	122
7.5PB	2	14	38	30	132
7.5PB	2	16	41	22	141
7.5PB	2	18	44	8	151
10PB	2	2	51	47	63
10PB	2	4	52	45	75
10PB	2	6	54	42	85
10PB	2	8	56	38	96
10PB	2	10	58	33	106
10PB	2	12	61	27	115
10PB	2	14	65	18	124
2.5P	2	2	54	46	62
2.5P	2	4	57	43	72
2.5P	2	6	61	40	81
2.5P	2	8	66	34	91
2.5P	2	10	71	28	100
2.5P	2	12	76	18	108
5P	2	2	56	46	61
5P	2	4	62	42	70
